Category: All categories

Month,cyberbullying: (Australia)
2004-01,0
2004-02,0
2004-03,0
2004-04,0
2004-05,0
2004-06,0
2004-07,0
2004-08,0
2004-09,0
2004-10,0
2004-11,0
2004-12,0
2005-01,0
2005-02,0
2005-03,0
2005-04,0
2005-05,0
2005-06,0
2005-07,0
2005-08,0
2005-09,34
2005-10,0
2005-11,0
2005-12,0
2006-01,0
2006-02,0
2006-03,0
2006-04,0
2006-05,0
2006-06,0
2006-07,0
2006-08,0
2006-09,0
2006-10,0
2006-11,0
2006-12,0
2007-01,0
2007-02,0
2007-03,0
2007-04,0
2007-05,0
2007-06,0
2007-07,15
2007-08,0
2007-09,0
2007-10,0
2007-11,0
2007-12,0
2008-01,0
2008-02,0
2008-03,0
2008-04,22
2008-05,16
2008-06,23
2008-07,14
2008-08,24
2008-09,16
2008-10,21
2008-11,22
2008-12,0
2009-01,0
2009-02,23
2009-03,19
2009-04,21
2009-05,27
2009-06,31
2009-07,32
2009-08,70
2009-09,47
2009-10,56
2009-11,39
2009-12,11
2010-01,0
2010-02,55
2010-03,81
2010-04,59
2010-05,72
2010-06,68
2010-07,48
2010-08,69
2010-09,43
2010-10,58
2010-11,53
2010-12,12
2011-01,0
2011-02,48
2011-03,75
2011-04,43
2011-05,55
2011-06,55
2011-07,37
2011-08,54
2011-09,46
2011-10,49
2011-11,40
2011-12,17
2012-01,14
2012-02,41
2012-03,76
2012-04,38
2012-05,60
2012-06,50
2012-07,32
2012-08,60
2012-09,59
2012-10,56
2012-11,46
2012-12,13
2013-01,7
2013-02,52
2013-03,74
2013-04,59
2013-05,73
2013-06,64
2013-07,58
2013-08,95
2013-09,82
2013-10,67
2013-11,68
2013-12,18
2014-01,13
2014-02,62
2014-03,95
2014-04,57
2014-05,85
2014-06,84
2014-07,44
2014-08,68
2014-09,63
2014-10,68
2014-11,59
2014-12,15
2015-01,12
2015-02,55
2015-03,96
2015-04,62
2015-05,93
2015-06,78
2015-07,47
2015-08,86
2015-09,56
2015-10,56
2015-11,57
2015-12,18
2016-01,12
2016-02,49
2016-03,74
2016-04,52
2016-05,80
2016-06,67
2016-07,31
2016-08,74
2016-09,56
2016-10,50
2016-11,46
2016-12,15
2017-01,15
2017-02,53
2017-03,86
2017-04,45
2017-05,94
2017-06,59
2017-07,34
2017-08,70
2017-09,50
2017-10,49
2017-11,52
2017-12,13
2018-01,20
2018-02,62
2018-03,99
2018-04,55
2018-05,100
2018-06,83
2018-07,39
2018-08,67
2018-09,63
2018-10,54
2018-11,56
2018-12,14
2019-01,12
2019-02,52
2019-03,80
2019-04,53
2019-05,86
2019-06,91
2019-07,38
2019-08,70
2019-09,70
2019-10,58
2019-11,67
2019-12,12
2020-01,11
2020-02,48
2020-03,76
2020-04,49
2020-05,83
2020-06,82
2020-07,35
2020-08,67
2020-09,66
2020-10,37
2020-11,36
2020-12,12
2021-01,9
2021-02,31
2021-03,64
2021-04,39
2021-05,61
2021-06,43
2021-07,21
2021-08,43
2021-09,31
2021-10,34
2021-11,37
2021-12,6
2022-01,7
2022-02,35
2022-03,69
2022-04,52
2022-05,78
2022-06,67
2022-07,31
2022-08,64
2022-09,42
2022-10,50
2022-11,46
2022-12,16
2023-01,10
2023-02,35
2023-03,64
2023-04,37
2023-05,75
2023-06,54
2023-07,29
2023-08,58
2023-09,44
2023-10,48
2023-11,33
2023-12,10
2024-01,9
2024-02,36
2024-03,56
2024-04,42
2024-05,58
2024-06,58
2024-07,27
2024-08,59
2024-09,44
2024-10,43
2024-11,41
2024-12,14
2025-01,8
2025-02,40
2025-03,58
