session_id,event_type,event_time,traffic_source,device_type
c9718135-8134-42b2-8e1e-2737fd6b49b1,AP,2020-12-17T07:04:52.331Z,MOBILE,Android
c9718135-8134-42b2-8e1e-2737fd6b49b1,CL,2020-12-06T09:07:47.331Z,MOBILE,Android
c9718135-8134-42b2-8e1e-2737fd6b49b1,SER,2020-12-17T07:12:08.331Z,MOBILE,Android
c9718135-8134-42b2-8e1e-2737fd6b49b1,CL,2021-01-08T02:28:32.331Z,MOBILE,Android
c9718135-8134-42b2-8e1e-2737fd6b49b1,ATC,2021-01-19T00:17:38.331Z,MOBILE,Android
c9718135-8134-42b2-8e1e-2737fd6b49b1,VI,2020-12-28T04:49:04.331Z,MOBILE,Android
d2077615-9026-4c5c-b088-a35519b64b05,HP,2020-02-23T23:03:14.612Z,MOBILE,Android
d2077615-9026-4c5c-b088-a35519b64b05,ATC,2020-02-24T08:56:58.612Z,MOBILE,Android
d2077615-9026-4c5c-b088-a35519b64b05,ATC,2020-02-24T18:52:26.612Z,MOBILE,Android
d2077615-9026-4c5c-b088-a35519b64b05,ATC,2020-02-25T04:46:38.612Z,MOBILE,Android
d2077615-9026-4c5c-b088-a35519b64b05,ATC,2020-02-25T14:43:26.612Z,MOBILE,Android
d2077615-9026-4c5c-b088-a35519b64b05,ATC,2020-02-26T00:35:01.612Z,MOBILE,Android
d2077615-9026-4c5c-b088-a35519b64b05,ATC,2020-02-26T10:27:38.612Z,MOBILE,Android
d2077615-9026-4c5c-b088-a35519b64b05,ATC,2020-02-24T08:56:37.612Z,MOBILE,Android
d31b9d4b-126a-49c4-be4b-8e5d7f70804d,HP,2020-04-24T02:35:21.612Z,MOBILE,Android
d31b9d4b-126a-49c4-be4b-8e5d7f70804d,ATC,2020-04-25T04:36:02.612Z,MOBILE,Android
d31b9d4b-126a-49c4-be4b-8e5d7f70804d,AP,2020-04-26T06:27:30.612Z,MOBILE,Android
d31b9d4b-126a-49c4-be4b-8e5d7f70804d,SCR,2020-04-26T06:19:34.612Z,MOBILE,Android
