id,gender,baseColour,season,year,usage,productDisplayName,category_id
29789,Men,Pink,Summer,2013,Casual,Basics Men Pack of 3 T-shirt,40
53137,Women,Brown,Winter,2015,Casual,Catwalk Women Brown Sandals,83
21129,Women,Red,Fall,2011,Casual,s.Oliver Women Printed Red Top,49
6229,Men,Black,Summer,2011,Casual,Lee Men's Shot Black T-shirt,40
40580,Women,White,Summer,2012,Casual,W Women White Top,49
59466,Women,Silver,Summer,2015,Casual,Lucera Silver Ring,54
28492,Men,Blue,Summer,2012,Casual,Urban Yoga Men Blue Shirt,67
57101,Women,Cream,Summer,2012,Casual,Elle Women Cream Top,49
43932,Women,Blue,Winter,2012,Casual,Catwalk Women Blue Heels,65
57199,Women,Red,Summer,2012,Casual,Elle Women Red Tunic,148
32029,Men,Grey,Summer,2016,Sports,Playboy Men Pack of 3 Socks,75
42153,Men,Grey,Summer,2012,Casual,Mr. Men Grey T-shirt,40
14978,Men,Black,Fall,2011,Casual,New Hide Men Solid Black Belts,9
3628,Men,Grey,Winter,2011,Casual,Puma Men Jiff  Grey Navy Sandal,157
23951,Men,Black,Fall,2011,Casual,Provogue Men Black Sweater,155
56993,Women,Brown,Winter,2012,Casual,HM Women Brown Shoes,83
9510,Men,White,Fall,2011,Casual,Puma Men Ess woven White Shorts,47
2339,Men,White,Fall,2010,Casual,Reebok Men White T-shirt,40
39237,Women,Yellow,Summer,2012,Casual,Femella Women Yellow Top,49
59177,Men,Olive,Summer,2012,Casual,Gliders Men Olive Shoes,3
28319,Men,Brown,Winter,2018,,RTV_LoadTest,157
45941,Women,Black,Summer,2012,Casual,Mumbai Slang Women Black Top,49
8857,Men,Orange,Fall,2011,Casual,Mark Taylor Men Orange Striped Shirt,67
36852,Men,Blue,Winter,2013,Casual,Spykar Men Passion Blue Shirt,67
41706,Women,Brown,Winter,2012,Casual,Catwalk Women Brown Wedges,65
23327,Women,Brown,Fall,2011,Ethnic,W Women Brown Kurta,87
38759,Unisex,Black,Summer,2012,Casual,Nike Unisex Backpack,64
38598,Men,Purple,Summer,2012,Casual,Nike Men Purple T-shirt,40
