"Council.x","Council_seat","Population","dogs","dog_pop","temp_Council","n_crime","property_crime","thift","dog_protection","crime_pop","property_pop","thift_pop","protect_pop"
"ADELAIDE HILLS COUNCIL","Woodside","41,448",9833,237.24,"adelaide hills",951,739,43,43,22.94,17.83,1.04,1.04
"ADELAIDE PLAINS COUNCIL","Mallala","10,461",5698,544.69,"adelaide plains",434,334,17,17,41.49,31.93,1.63,1.63
"ALEXANDRINA COUNCIL","Goolwa","29,780",8345,280.22,"alexandrina",738,551,55,55,24.78,18.5,1.85,1.85
"BARUNGA WEST COUNCIL","Port Broughton","2,676",675,252.24,"barunga west",93,68,3,3,34.75,25.41,1.12,1.12
"CAMPBELLTOWN CITY COUNCIL","Rostrevor","56,013",5807,103.67,"campbelltown city",1526,1223,66,66,27.24,21.83,1.18,1.18
"CITY OF ADELAIDE","Adelaide","26,120",1265,48.43,"city adelaide",9369,7298,139,139,358.69,279.4,5.32,5.32
"CITY OF BURNSIDE","Tusmore","46,692",5559,119.06,"city burnside",1859,1648,150,150,39.81,35.3,3.21,3.21
"CITY OF CHARLES STURT","Woodville","124,906",16545,132.46,"city charles sturt",10538,8724,568,568,84.37,69.84,4.55,4.55
"CITY OF HOLDFAST BAY","Brighton","38,061",5622,147.71,"city holdfast bay",2512,2051,113,113,66,53.89,2.97,2.97
"CITY OF MARION","Sturt","96,658",14501,150.02,"city marion",7103,5940,356,356,73.49,61.45,3.68,3.68
"CITY OF MITCHAM","Torrens Park","68,403",10805,157.96,"city mitcham",2145,1867,123,123,31.36,27.29,1.8,1.8
"CITY OF MOUNT GAMBIER","Mount Gambier","27,771",5521,198.8,"city mount gambier",1826,1278,71,71,65.75,46.02,2.56,2.56
"CITY OF ONKAPARINGA","Noarlunga Centre","178,546",36913,206.74,"city onkaparinga",8947,6867,367,367,50.11,38.46,2.06,2.06
"CITY OF PLAYFORD","Elizabeth","103,420",20400,197.25,"city playford",11564,8767,580,580,111.82,84.77,5.61,5.61
"CITY OF PORT ADELAIDE ENFIELD","Port Adelaide","135,844",18291,134.65,"city port adelaide enfield",12378,9882,658,658,91.12,72.75,4.84,4.84
"CITY OF PORT LINCOLN","Port Lincoln","14,947",2850,190.67,"city port lincoln",1705,1319,112,112,114.07,88.25,7.49,7.49
"CITY OF PROSPECT","Prospect","22,741",2661,117.01,"city prospect",320,280,23,23,14.07,12.31,1.01,1.01
"CITY OF SALISBURY","Salisbury","148,003",21059,142.29,"city salisbury",11681,9220,479,479,78.92,62.3,3.24,3.24
"CITY OF TEA TREE GULLY","Modbury","102,666",18346,178.7,"city tea tree gully",3356,2669,127,127,32.69,26,1.24,1.24
"CITY OF UNLEY","Unley","39,085",4972,127.21,"city unley",2427,2139,133,133,62.1,54.73,3.4,3.4
"CITY OF VICTOR HARBOR","Victor Harbor","16,720",3752,224.4,"city victor harbor",480,360,27,27,28.71,21.53,1.61,1.61
"CITY OF WEST TORRENS","Hilton","63,105",7222,114.44,"city west torrens",4313,3686,270,270,68.35,58.41,4.28,4.28
"CLARE AND GILBERT VALLEYS COUNCIL","Clare","9,393",2712,288.73,"clare gilbert valleys",NA,NA,NA,NA,NA,NA,NA,NA
"COORONG DISTRICT COUNCIL","Meningie","5,569",1974,354.46,"coorong",234,180,15,15,42.02,32.32,2.69,2.69
"COPPER COAST COUNCIL","Kadina","15,652",3523,225.08,"copper coast",655,484,46,46,41.85,30.92,2.94,2.94
"DC OF ELLISTON","Elliston","1,037",332,320.15,"elliston",21,17,3,3,20.25,16.39,2.89,2.89
"DC OF ROBE","Robe","1,583",479,302.59,"robe",31,25,0,0,19.58,15.79,0,0
"KANGAROO ISLAND COUNCIL","Kingscote","5,084",1680,330.45,"kangaroo island",119,90,3,3,23.41,17.7,0.59,0.59
"KINGSTON DC","Kingston SE","2,389",725,303.47,"kingston",49,35,5,5,20.51,14.65,2.09,2.09
"LIGHT REGIONAL COUNCIL","Kapunda","16,332",4406,269.78,"light regional",839,636,34,34,51.37,38.94,2.08,2.08
"LOWER EYRE COUNCIL","Cummins","6,100",1509,247.38,"lower eyre",NA,NA,NA,NA,NA,NA,NA,NA
"MID MURRAY COUNCIL","Mannum","9,415",3140,333.51,"mid murray",360,281,17,17,38.24,29.85,1.81,1.81
"MOUNT BARKER DISTRICT COUNCIL","Mount Barker","41,059",9548,232.54,"mount barker",1024,770,24,24,24.94,18.75,0.58,0.58
"NARACOORTE LUCINDALE COUNCIL","Naracoorte","8,928",2443,273.63,"naracoorte lucindale",278,208,9,9,31.14,23.3,1.01,1.01
"NORTHERN AREAS COUNCIL","Jamestown","4,671",1437,307.64,"northern areas",95,64,10,10,20.34,13.7,2.14,2.14
"PORT AUGUSTA CITY COUNCIL","Port Augusta","14,456",3316,229.39,"port augusta city",3652,2497,221,221,252.63,172.73,15.29,15.29
"PORT PIRIE REGIONAL COUNCIL","Port Pirie","17,648",4317,244.62,"port pirie regional",1464,1056,75,75,82.96,59.84,4.25,4.25
