"Council.x","Population","Council_seat","total_count","registered_percent","desexed_percent","chipped_percent","reg_desex_chip_percent","reg_chip_percent","num_dogs","rank","num_dogs_cbrt"
"ADELAIDE HILLS COUNCIL","41,448","Woodside",9833,86.5351367842978,80.7179904403539,97.5185599511848,70.599003356046,85.1622088884369,10833,1,22.1266796260704
"ADELAIDE PLAINS COUNCIL","10,461","Mallala",5698,91.9094419094419,45.6300456300456,96.9111969111969,42.5587925587926,89.7683397683398,6698,2,18.8501602990212
"ALEXANDRINA COUNCIL","29,780","Goolwa",8345,95.1348112642301,73.6968244457759,98.6938286399041,70.1378070701019,94.1402037147993,9345,3,21.0633010610869
"BARUNGA WEST COUNCIL","2,676","Port Broughton",675,97.6296296296296,66.5185185185185,98.6666666666667,65.7777777777778,96.5925925925926,1675,4,11.8760386903079
"CAMPBELLTOWN CITY COUNCIL","56,013","Rostrevor",5807,98.5018081625624,76.9416221801274,96.1598071293267,74.6340623385569,94.8854830377131,6807,5,18.9518633747569
"CITY OF ADELAIDE","26,120","Adelaide",1265,95.7312252964427,83.7944664031621,98.3399209486166,81.2648221343873,94.7826086956522,2265,6,13.1327618488104
"CITY OF BURNSIDE","46,692","Tusmore",5559,99.2264795826588,84.9073574383882,99.4243568987228,84.4936139593452,98.7048030221263,6559,7,18.7188519884299
"CITY OF CHARLES STURT","124,906","Woodville",16545,99.4137201571472,78.7669990933817,98.9604110003022,78.410395889997,98.4708371109096,17545,8,25.9847050081408
"CITY OF HOLDFAST BAY","38,061","Brighton",5622,93.8278192813945,85.5211668445393,97.9900391319815,80.184987548915,92.4226254002134,6622,9,18.7785934104386
"CITY OF MARION","96,658","Sturt",14501,93.8900765464451,82.1598510447555,98.4483828701469,78.3256327149852,93.1728846286463,15501,10,24.9336909465391
"CITY OF MITCHAM","68,403","Torrens Park",10805,99.3614067561314,87.0615455807497,98.250809810273,86.11753817677,97.6770013882462,11805,11,22.7695962861103
"CITY OF MOUNT GAMBIER","27,771","Mount Gambier",5521,98.7864517297591,76.1637384531788,97.9351566745155,75.4030067016845,96.9027350117732,6521,12,18.6826323157019
"CITY OF ONKAPARINGA","178,546","Noarlunga Centre",36913,89.4156530219706,80.7628748679327,97.5211984937556,74.4534445859182,88.3726600384688,37913,13,33.5940772818304
"CITY OF PLAYFORD","103,420","Elizabeth",20400,83.843137254902,66.6813725490196,94.8039215686274,59.2352941176471,81.8823529411765,21400,14,27.7633109854556
"CITY OF PORT ADELAIDE ENFIELD","135,844","Port Adelaide",18291,88.3986660106063,77.0433546552949,96.8946476409163,69.8266907222131,86.917063036466,19291,15,26.8195557869447
"CITY OF PORT LINCOLN","14,947","Port Lincoln",2850,95.9298245614035,77.2982456140351,97.7894736842105,75.5087719298246,94.4561403508772,3850,16,15.6730520724067
"CITY OF PROSPECT","22,741","Prospect",2661,98.7598647125141,83.0139045471627,99.3987222848553,82.337467117625,98.271326568959,3661,17,15.4122688535293
"CITY OF SALISBURY","148,003","Salisbury",21059,97.9248777244883,69.9748326131345,93.2807825632746,68.4173037656109,91.8942020038938,22059,18,28.0454194813956
"CITY OF TEA TREE GULLY","102,666","Modbury",18346,88.8804098986155,78.3549547585305,96.2934699662052,70.4785784367165,86.672844216723,19346,19,26.8450197500428
"CITY OF UNLEY","39,085","Unley",4972,99.5776347546259,88.5760257441673,98.9742558326629,87.8117457763475,98.6122284794851,5972,20,18.1428955238051
"CITY OF VICTOR HARBOR","16,720","Victor Harbor",3752,90.5650319829424,76.545842217484,96.2420042643923,70.22921108742,87.8731343283582,4752,21,16.8122359839323
"CITY OF WEST TORRENS","63,105","Hilton",7222,94.7798393796732,84.1595126003877,97.8399335364165,80.6147881473276,93.2705621711437,8222,22,20.1833146534305
"CLARE AND GILBERT VALLEYS COUNCIL","9,393","Clare",2712,88.4955752212389,61.3938053097345,89.8598820058997,53.8716814159292,81.4896755162242,3712,23,15.4835065625112
"COORONG DISTRICT COUNCIL","5,569","Meningie",1974,90.2228976697062,46.9604863221885,97.4164133738602,43.3130699088146,87.7912867274569,2974,24,14.3807097670602
"COPPER COAST COUNCIL","15,652","Kadina",3523,96.5370422934999,77.6326994039171,99.4323020153278,75.7025262560318,96.2531933011638,4523,25,16.5377159875253
"DC OF ELLISTON","1,037","Elliston",332,99.3975903614458,53.6144578313253,97.8915662650602,53.0120481927711,97.289156626506,1332,26,11.0027541313119
"DC OF ROBE","1,583","Robe",479,97.7035490605428,61.3778705636743,88.3089770354906,56.1586638830898,86.0125260960334,1479,27,11.3934711769908
"KANGAROO ISLAND COUNCIL","5,084","Kingscote",1680,80.5952380952381,62.6785714285714,98.2142857142857,52.3809523809524,80,2680,28,13.8902991160651
"KINGSTON DC","2,389","Kingston SE",725,96.2758620689655,52.8275862068965,90.8965517241379,49.7931034482759,87.448275862069,1725,29,11.9930515328992
"LIGHT REGIONAL COUNCIL","16,332","Kapunda",4406,94.1897412619156,69.7911938266001,94.8479346345892,65.546981389015,89.9909214707217,5406,30,17.5506018413587
"LOWER EYRE COUNCIL","6,100","Cummins",1509,98.2770046388337,66.9317428760769,94.4333996023857,64.7448641484427,93.0417495029821,2509,31,13.5883550838613
"MID MURRAY COUNCIL","9,415","Mannum",3140,93.9808917197452,61.0509554140127,95.5095541401274,58.1847133757962,90.6369426751592,4140,32,16.0570877363124
"MOUNT BARKER DISTRICT COUNCIL","41,059","Mount Barker",9548,98.5127775450356,75.670297444491,95.9886887306242,73.1147884373691,94.7842480100545,10548,33,21.9309127469376
