"_id","LocationType","Time","Season","OffendingAnimalLeashStatus","IncidentType","VictimType","FinancialYear","Count","Date","YearExtracted","MonthExtracted"
1,"Beach","5 pm to 8 pm","Autumn","No Leash","Attack","Animal","2021/22",1,2022-04-01,2022,4
2,"Beach","5 pm to 8 pm","Autumn","No Leash","Attack","Human","2019/20",1,2020-04-01,2020,4
3,"Beach","5 pm to 8 pm","Autumn","No Leash","Harassment","Animal","2019/20",1,2020-04-01,2020,4
4,"Beach","5 pm to 8 pm","Autumn","No Leash","Harassment","Animal","2023/24",1,2024-04-01,2024,4
5,"Beach","5 pm to 8 pm","Autumn","No Leash","Harassment","Human","2020/21",1,2021-04-01,2021,4
6,"Beach","5 pm to 8 pm","Autumn","No Leash","Harassment","Unknown","2019/20",2,2020-04-01,2020,4
7,"Beach","5 pm to 8 pm","Autumn","On a Leash","Attack","Animal","2018/19",1,2019-04-01,2019,4
8,"Beach","5 pm to 8 pm","Autumn","On a Leash","Attack","Unknown","2020/21",1,2021-04-01,2021,4
9,"Beach","5 pm to 8 pm","Autumn","Unknown","Attack","Human","2018/19",1,2019-04-01,2019,4
10,"Beach","5 pm to 8 pm","Autumn","Unknown","Attack","Human","2021/22",1,2022-04-01,2022,4
11,"Beach","5 pm to 8 pm","Spring","No Leash","Attack","Animal","2020/21",1,2020-10-01,2020,10
12,"Beach","5 pm to 8 pm","Spring","No Leash","Attack","Human","2020/21",1,2020-10-01,2020,10
13,"Beach","5 pm to 8 pm","Spring","No Leash","Attack","Human","2022/23",1,2022-10-01,2022,10
14,"Beach","5 pm to 8 pm","Spring","No Leash","Harassment","Human","2023/24",1,2023-10-01,2023,10
15,"Beach","5 pm to 8 pm","Spring","On a Leash","Attack","Animal","2019/20",1,2019-10-01,2019,10
16,"Beach","5 pm to 8 pm","Spring","On a Leash","Attack","Human","2022/23",1,2022-10-01,2022,10
17,"Beach","5 pm to 8 pm","Spring","On a Leash","Harassment","Unknown","2021/22",2,2021-10-01,2021,10
18,"Beach","5 pm to 8 pm","Spring","Unknown","Attack","Animal","2019/20",1,2019-10-01,2019,10
19,"Beach","5 pm to 8 pm","Spring","Unknown","Attack","Animal","2023/24",1,2023-10-01,2023,10
20,"Beach","5 pm to 8 pm","Spring","Unknown","Harassment","Unknown","2021/22",1,2021-10-01,2021,10
21,"Beach","5 pm to 8 pm","Summer","No Leash","Attack","Animal","2021/22",1,2022-01-01,2022,1
22,"Beach","5 pm to 8 pm","Summer","No Leash","Attack","Human","2023/24",1,2024-01-01,2024,1
23,"Beach","5 pm to 8 pm","Summer","On a Leash","Attack","Animal","2022/23",1,2023-01-01,2023,1
24,"Beach","5 pm to 8 pm","Summer","On a Leash","Attack","Human","2021/22",1,2022-01-01,2022,1
25,"Beach","5 pm to 8 pm","Summer","On a Leash","Harassment","Human","2021/22",1,2022-01-01,2022,1
26,"Beach","5 pm to 8 pm","Summer","Unknown","Attack","Animal","2021/22",1,2022-01-01,2022,1
27,"Beach","5 pm to 8 pm","Summer","Unknown","Harassment","Human","2020/21",1,2021-01-01,2021,1
28,"Beach","5 pm to 8 pm","Summer","Unknown","Harassment","Human","2023/24",1,2024-01-01,2024,1
29,"Beach","5 pm to 8 pm","Summer","Unknown","Harassment","Unknown","2022/23",1,2023-01-01,2023,1
30,"Beach","5 pm to 8 pm","Winter","Unknown","Attack","Unknown","2022/23",1,2022-07-01,2022,7
31,"Beach","6 am to 9 am","Autumn","No Leash","Attack","Animal","2019/20",1,2020-04-01,2020,4
33,"Beach","6 am to 9 am","Autumn","No Leash","Attack","Unknown","2020/21",1,2021-04-01,2021,4
34,"Beach","6 am to 9 am","Autumn","No Leash","Attack","Unknown","2022/23",1,2023-04-01,2023,4
35,"Beach","6 am to 9 am","Autumn","No Leash","Harassment","Animal","2023/24",1,2024-04-01,2024,4
36,"Beach","6 am to 9 am","Autumn","Unknown","Attack","Animal","2020/21",1,2021-04-01,2021,4
37,"Beach","6 am to 9 am","Autumn","Unknown","Attack","Animal","2022/23",1,2023-04-01,2023,4
38,"Beach","6 am to 9 am","Autumn","Unknown","Attack","Human","2020/21",1,2021-04-01,2021,4
39,"Beach","6 am to 9 am","Autumn","Unknown","Attack","Human","2021/22",1,2022-04-01,2022,4
40,"Beach","6 am to 9 am","Autumn","Unknown","Harassment","Human","2023/24",1,2024-04-01,2024,4
41,"Beach","6 am to 9 am","Spring","No Leash","Attack","Animal","2018/19",1,2018-10-01,2018,10
42,"Beach","6 am to 9 am","Spring","No Leash","Attack","Animal","2022/23",1,2022-10-01,2022,10
43,"Beach","6 am to 9 am","Spring","No Leash","Attack","Unknown","2021/22",1,2021-10-01,2021,10
44,"Beach","6 am to 9 am","Spring","On a Leash","Harassment","Animal","2022/23",1,2022-10-01,2022,10
45,"Beach","6 am to 9 am","Spring","Unknown","Attack","Animal","2018/19",1,2018-10-01,2018,10
46,"Beach","6 am to 9 am","Spring","Unknown","Attack","Animal","2019/20",1,2019-10-01,2019,10
47,"Beach","6 am to 9 am","Spring","Unknown","Attack","Animal","2023/24",1,2023-10-01,2023,10
48,"Beach","6 am to 9 am","Spring","Unknown","Attack","Both","2022/23",1,2022-10-01,2022,10
49,"Beach","6 am to 9 am","Spring","Unknown","Attack","Human","2022/23",1,2022-10-01,2022,10
50,"Beach","6 am to 9 am","Spring","Unknown","Attack","Unknown","2022/23",1,2022-10-01,2022,10
51,"Beach","6 am to 9 am","Spring","Unknown","Harassment","Animal","2021/22",1,2021-10-01,2021,10
52,"Beach","6 am to 9 am","Summer","No Leash","Attack","Animal","2018/19",1,2019-01-01,2019,1
53,"Beach","6 am to 9 am","Summer","No Leash","Attack","Animal","2019/20",2,2020-01-01,2020,1
54,"Beach","6 am to 9 am","Summer","No Leash","Attack","Animal","2020/21",2,2021-01-01,2021,1
55,"Beach","6 am to 9 am","Summer","No Leash","Attack","Animal","2021/22",1,2022-01-01,2022,1
56,"Beach","6 am to 9 am","Summer","No Leash","Attack","Human","2019/20",1,2020-01-01,2020,1
57,"Beach","6 am to 9 am","Summer","No Leash","Attack","Unknown","2023/24",1,2024-01-01,2024,1
58,"Beach","6 am to 9 am","Summer","No Leash","Harassment","Animal","2019/20",1,2020-01-01,2020,1
