"AgeCategory","Gender","NumOfDogs","Count"
"16-20 years","Female","0 Dogs",475
"16-20 years","Female","1 Dogs",603
"16-20 years","Female","2 Dogs",45
"16-20 years","Female","3 Dogs",8
"16-20 years","Male","0 Dogs",105
"16-20 years","Male","1 Dogs",291
"16-20 years","Male","2 Dogs",19
"16-20 years","Male","3 Dogs",1
"16-20 years","Other","0 Dogs",8
"16-20 years","Other","1 Dogs",9
"16-20 years","Other","2 Dogs",1
"16-20 years","Other","3 Dogs",1
"21-25 years","Female","0 Dogs",3157
"21-25 years","Female","1 Dogs",4589
"21-25 years","Female","2 Dogs",744
"21-25 years","Female","3 Dogs",72
"21-25 years","Female","4 Dogs",13
"21-25 years","Female","5 Dogs",2
"21-25 years","Female",">5 Dogs",5
"21-25 years","Male","0 Dogs",894
"21-25 years","Male","1 Dogs",2530
"21-25 years","Male","2 Dogs",222
"21-25 years","Male","3 Dogs",15
"21-25 years","Male","4 Dogs",8
"21-25 years","Male",">5 Dogs",3
"21-25 years","Other","0 Dogs",48
"21-25 years","Other","1 Dogs",68
"21-25 years","Other","2 Dogs",10
"21-25 years","Other","3 Dogs",3
"21-25 years","Other","4 Dogs",1
"21-25 years","Other","5 Dogs",1
"21-25 years","Other",">5 Dogs",1
"26-30 years","Female","0 Dogs",3538
"26-30 years","Female","1 Dogs",9447
"26-30 years","Female","2 Dogs",2235
"26-30 years","Female","3 Dogs",173
"26-30 years","Female","4 Dogs",39
"26-30 years","Female","5 Dogs",7
"26-30 years","Female",">5 Dogs",7
"26-30 years","Male","0 Dogs",1345
"26-30 years","Male","1 Dogs",5421
"26-30 years","Male","2 Dogs",832
"26-30 years","Male","3 Dogs",49
"26-30 years","Male","4 Dogs",9
"26-30 years","Male","5 Dogs",5
"26-30 years","Male",">5 Dogs",4
"26-30 years","Other","0 Dogs",51
"26-30 years","Other","1 Dogs",145
"26-30 years","Other","2 Dogs",25
"26-30 years","Other","3 Dogs",4
"31-35 years","Female","0 Dogs",3073
"31-35 years","Female","1 Dogs",11705
"31-35 years","Female","2 Dogs",3128
"31-35 years","Female","3 Dogs",264
"31-35 years","Female","4 Dogs",33
"31-35 years","Female","5 Dogs",15
"31-35 years","Female",">5 Dogs",30
"31-35 years","Male","0 Dogs",1202
"31-35 years","Male","1 Dogs",7014
"31-35 years","Male","2 Dogs",1250
"31-35 years","Male","3 Dogs",85
"31-35 years","Male","4 Dogs",16
"31-35 years","Male","5 Dogs",9
"31-35 years","Male",">5 Dogs",17
"31-35 years","Other","0 Dogs",33
"31-35 years","Other","1 Dogs",236
"31-35 years","Other","2 Dogs",53
"31-35 years","Other","3 Dogs",1
"36-40 years","Female","0 Dogs",2774
"36-40 years","Female","1 Dogs",12359
"36-40 years","Female","2 Dogs",3268
"36-40 years","Female","3 Dogs",301
"36-40 years","Female","4 Dogs",61
"36-40 years","Female","5 Dogs",20
"36-40 years","Female",">5 Dogs",35
"36-40 years","Male","0 Dogs",1020
"36-40 years","Male","1 Dogs",6924
"36-40 years","Male","2 Dogs",1343
"36-40 years","Male","3 Dogs",98
"36-40 years","Male","4 Dogs",29
"36-40 years","Male","5 Dogs",5
"36-40 years","Male",">5 Dogs",16
"36-40 years","Other","0 Dogs",28
"36-40 years","Other","1 Dogs",251
"36-40 years","Other","2 Dogs",69
"36-40 years","Other","3 Dogs",8
"36-40 years","Other","4 Dogs",1
"36-40 years","Other",">5 Dogs",1
"41-45 years","Female","0 Dogs",2902
"41-45 years","Female","1 Dogs",12600
"41-45 years","Female","2 Dogs",3510
"41-45 years","Female","3 Dogs",355
"41-45 years","Female","4 Dogs",66
"41-45 years","Female","5 Dogs",30
"41-45 years","Female",">5 Dogs",36
"41-45 years","Male","0 Dogs",892
"41-45 years","Male","1 Dogs",6428
"41-45 years","Male","2 Dogs",1306
"41-45 years","Male","3 Dogs",141
"41-45 years","Male","4 Dogs",33
"41-45 years","Male","5 Dogs",13
"41-45 years","Male",">5 Dogs",24
"41-45 years","Other","0 Dogs",29
"41-45 years","Other","1 Dogs",265
"41-45 years","Other","2 Dogs",71
"41-45 years","Other","3 Dogs",6
"41-45 years","Other","4 Dogs",2
"41-45 years","Other","5 Dogs",1
"46-50 years","Female","0 Dogs",2800
"46-50 years","Female","1 Dogs",13191
"46-50 years","Female","2 Dogs",3947
"46-50 years","Female","3 Dogs",463
"46-50 years","Female","4 Dogs",94
"46-50 years","Female","5 Dogs",34
"46-50 years","Female",">5 Dogs",50
"46-50 years","Male","0 Dogs",895
"46-50 years","Male","1 Dogs",6408
"46-50 years","Male","2 Dogs",1355
"46-50 years","Male","3 Dogs",188
"46-50 years","Male","4 Dogs",47
"46-50 years","Male","5 Dogs",26
"46-50 years","Male",">5 Dogs",25
"46-50 years","Other","0 Dogs",25
"46-50 years","Other","1 Dogs",284
"46-50 years","Other","2 Dogs",80
"46-50 years","Other","3 Dogs",10
"46-50 years","Other","4 Dogs",2
"46-50 years","Other","5 Dogs",1
"46-50 years","Other",">5 Dogs",1
"51-55 years","Female","0 Dogs",2846
"51-55 years","Female","1 Dogs",14662
"51-55 years","Female","2 Dogs",4864
"51-55 years","Female","3 Dogs",607
"51-55 years","Female","4 Dogs",126
"51-55 years","Female","5 Dogs",33
"51-55 years","Female",">5 Dogs",55
"51-55 years","Male","0 Dogs",898
"51-55 years","Male","1 Dogs",7191
"51-55 years","Male","2 Dogs",1716
"51-55 years","Male","3 Dogs",183
"51-55 years","Male","4 Dogs",51
"51-55 years","Male","5 Dogs",19
"51-55 years","Male",">5 Dogs",40
"51-55 years","Other","0 Dogs",24
"51-55 years","Other","1 Dogs",460
"51-55 years","Other","2 Dogs",99
"51-55 years","Other","3 Dogs",14
"51-55 years","Other","4 Dogs",7
"51-55 years","Other","5 Dogs",3
"51-55 years","Other",">5 Dogs",1
"56-60 years","Female","0 Dogs",2295
"56-60 years","Female","1 Dogs",12622
"56-60 years","Female","2 Dogs",3851
"56-60 years","Female","3 Dogs",476
"56-60 years","Female","4 Dogs",101
"56-60 years","Female","5 Dogs",40
"56-60 years","Female",">5 Dogs",77
"56-60 years","Male","0 Dogs",707
"56-60 years","Male","1 Dogs",6458
"56-60 years","Male","2 Dogs",1460
"56-60 years","Male","3 Dogs",199
"56-60 years","Male","4 Dogs",53
"56-60 years","Male","5 Dogs",20
"56-60 years","Male",">5 Dogs",38
"56-60 years","Other","0 Dogs",36
"56-60 years","Other","1 Dogs",449
"56-60 years","Other","2 Dogs",123
"56-60 years","Other","3 Dogs",32
"56-60 years","Other","4 Dogs",6
"56-60 years","Other","5 Dogs",4
"56-60 years","Other",">5 Dogs",4
"61-65 years","Female","0 Dogs",2024
"61-65 years","Female","1 Dogs",11188
"61-65 years","Female","2 Dogs",3095
"61-65 years","Female","3 Dogs",342
"61-65 years","Female","4 Dogs",99
"61-65 years","Female","5 Dogs",29
"61-65 years","Female",">5 Dogs",58
"61-65 years","Male","0 Dogs",642
"61-65 years","Male","1 Dogs",5849
"61-65 years","Male","2 Dogs",1323
"61-65 years","Male","3 Dogs",188
"61-65 years","Male","4 Dogs",48
"61-65 years","Male","5 Dogs",25
"61-65 years","Male",">5 Dogs",37
"61-65 years","Other","0 Dogs",27
"61-65 years","Other","1 Dogs",499
"61-65 years","Other","2 Dogs",118
"61-65 years","Other","3 Dogs",16
"61-65 years","Other","4 Dogs",2
"61-65 years","Other","5 Dogs",1
"61-65 years","Other",">5 Dogs",1
"66-70 years","Female","0 Dogs",1537
"66-70 years","Female","1 Dogs",8438
"66-70 years","Female","2 Dogs",2035
"66-70 years","Female","3 Dogs",233
"66-70 years","Female","4 Dogs",61
"66-70 years","Female","5 Dogs",21
"66-70 years","Female",">5 Dogs",57
"66-70 years","Male","0 Dogs",493
"66-70 years","Male","1 Dogs",5022
"66-70 years","Male","2 Dogs",1017
"66-70 years","Male","3 Dogs",126
"66-70 years","Male","4 Dogs",29
"66-70 years","Male","5 Dogs",17
"66-70 years","Male",">5 Dogs",27
"66-70 years","Other","0 Dogs",20
"66-70 years","Other","1 Dogs",448
"66-70 years","Other","2 Dogs",105
"66-70 years","Other","3 Dogs",12
"66-70 years","Other","4 Dogs",6
"66-70 years","Other","5 Dogs",1
"66-70 years","Other",">5 Dogs",2
">70 years","Female","0 Dogs",3108
">70 years","Female","1 Dogs",15855
">70 years","Female","2 Dogs",2605
">70 years","Female","3 Dogs",268
">70 years","Female","4 Dogs",57
">70 years","Female","5 Dogs",23
">70 years","Female",">5 Dogs",63
">70 years","Male","0 Dogs",1059
">70 years","Male","1 Dogs",10195
">70 years","Male","2 Dogs",1507
">70 years","Male","3 Dogs",180
">70 years","Male","4 Dogs",50
">70 years","Male","5 Dogs",20
">70 years","Male",">5 Dogs",49
">70 years","Other","0 Dogs",49
">70 years","Other","1 Dogs",1384
">70 years","Other","2 Dogs",198
">70 years","Other","3 Dogs",29
">70 years","Other","4 Dogs",4
">70 years","Other","5 Dogs",1
">70 years","Other",">5 Dogs",5
