"Council","AvNumofDog","num_dogs_diff","num_dogs_type"
"CITY OF ADELAIDE",0.75,-0.436714285714286,"below"
"CAMPBELLTOWN CITY COUNCIL",0.9,-0.286714285714286,"below"
"CITY OF WEST TORRENS",0.95,-0.236714285714286,"below"
"CITY OF MITCHAM",0.96,-0.226714285714286,"below"
"CITY OF PROSPECT",0.97,-0.216714285714286,"below"
"CITY OF UNLEY",0.97,-0.216714285714286,"below"
"THE CITY OF NORWOOD PAYNEHAM AND ST PETERS",0.97,-0.216714285714286,"below"
"THE CORPORATION OF THE TOWN OF WALKERVILLE",0.97,-0.216714285714286,"below"
"CITY OF CHARLES STURT",0.98,-0.206714285714286,"below"
"CITY OF MARION",0.99,-0.196714285714286,"below"
"CITY OF BURNSIDE",1.01,-0.176714285714286,"below"
"CITY OF PORT ADELAIDE ENFIELD",1.01,-0.176714285714286,"below"
"CITY OF HOLDFAST BAY",1.03,-0.156714285714286,"below"
"CITY OF PORT LINCOLN",1.03,-0.156714285714286,"below"
"INTERSTATE COUNCIL",1.04,-0.146714285714286,"below"
"CITY OF SALISBURY",1.05,-0.136714285714286,"below"
"CITY OF TEA TREE GULLY",1.06,-0.126714285714286,"below"
"THE CORPORATION OF THE CITY OF WHYALLA",1.06,-0.126714285714286,"below"
"CITY OF MOUNT GAMBIER",1.07,-0.116714285714286,"below"
"CITY OF ONKAPARINGA",1.07,-0.116714285714286,"below"
"CITY OF PLAYFORD",1.08,-0.106714285714286,"below"
"CITY OF VICTOR HARBOR",1.08,-0.106714285714286,"below"
"COPPER COAST COUNCIL",1.08,-0.106714285714286,"below"
"MOUNT BARKER DISTRICT COUNCIL",1.1,-0.0867142857142855,"below"
"THE DC OF CEDUNA",1.12,-0.0667142857142855,"below"
"TOWN OF GAWLER",1.12,-0.0667142857142855,"below"
"MUNICIPAL COUNCIL OF ROXBY DOWNS",1.13,-0.0567142857142857,"below"
"BARUNGA WEST COUNCIL",1.14,-0.0467142857142857,"below"
"THE BAROSSA COUNCIL",1.15,-0.0367142857142857,"below"
"THE DC OF TUMBY BAY",1.15,-0.0367142857142857,"below"
"PORT PIRIE REGIONAL COUNCIL",1.17,-0.0167142857142857,"below"
"RENMARK PARINGA COUNCIL",1.17,-0.0167142857142857,"below"
"THE RURAL CITY OF MURRAY BRIDGE",1.17,-0.0167142857142857,"below"
"YORKE PENINSULA COUNCIL",1.17,-0.0167142857142857,"below"
"ADELAIDE HILLS COUNCIL",1.18,-0.00671428571428567,"below"
"LOWER EYRE COUNCIL",1.18,-0.00671428571428567,"below"
"PORT AUGUSTA CITY COUNCIL",1.19,0.00328571428571434,"above"
"THE DC OF PETERBOROUGH",1.19,0.00328571428571434,"above"
"THE BERRI BARMERA COUNCIL",1.21,0.0232857142857144,"above"
"THE DC OF FRANKLIN HARBOUR",1.21,0.0232857142857144,"above"
"THE DC OF LOXTON WAIKERIE",1.21,0.0232857142857144,"above"
"ALEXANDRINA COUNCIL",1.22,0.0332857142857144,"above"
"THE DC OF YANKALILLA",1.22,0.0332857142857144,"above"
"WAKEFIELD REGIONAL COUNCIL",1.23,0.0432857142857144,"above"
"THE DC OF COOBER PEDY",1.24,0.0532857142857144,"above"
"DC OF ELLISTON",1.25,0.0632857142857144,"above"
"DC OF ROBE",1.25,0.0632857142857144,"above"
"THE DC OF CLEVE",1.25,0.0632857142857144,"above"
"CLARE AND GILBERT VALLEYS COUNCIL",1.26,0.0732857142857144,"above"
"LIGHT REGIONAL COUNCIL",1.26,0.0732857142857144,"above"
"KANGAROO ISLAND COUNCIL",1.27,0.0832857142857144,"above"
"THE FLINDERS RANGES COUNCIL",1.27,0.0832857142857144,"above"
"THE DC OF STREAKY BAY",1.28,0.0932857142857144,"above"
"COORONG DISTRICT COUNCIL",1.33,0.143285714285714,"above"
"NORTHERN AREAS COUNCIL",1.33,0.143285714285714,"above"
"OUTBACK COMMUNITIES AUTHORITY",1.35,0.163285714285714,"above"
"WATTLE RANGE COUNCIL",1.35,0.163285714285714,"above"
"MID MURRAY COUNCIL",1.36,0.173285714285714,"above"
"THE DC OF GRANT",1.36,0.173285714285714,"above"
"THE DC OF ORROROO CARRIETON",1.38,0.193285714285714,"above"
"KINGSTON DC",1.39,0.203285714285714,"above"
"SOUTHERN MALLEE DC",1.39,0.203285714285714,"above"
"TATIARA DC",1.41,0.223285714285714,"above"
"THE DC OF MOUNT REMARKABLE",1.41,0.223285714285714,"above"
"THE DC OF KIMBA",1.42,0.233285714285714,"above"
"NARACOORTE LUCINDALE COUNCIL",1.45,0.263285714285714,"above"
"THE REGIONAL COUNCIL OF GOYDER",1.47,0.283285714285714,"above"
"WUDINNA DISTRICT COUNCIL",1.49,0.303285714285714,"above"
"THE DC OF KAROONDA EAST MURRAY",1.51,0.323285714285714,"above"
"ADELAIDE PLAINS COUNCIL",1.63,0.443285714285714,"above"
