_id,Council,AnimalSpecies,Gender,Reg_status,Microchipped,Desexed,Count
1,ADELAIDE CITY COUNCIL,Cat,Female,Registered,N,N,1
2,ADELAIDE CITY COUNCIL,Cat,Female,Registered,Y,N,37
3,ADELAIDE CITY COUNCIL,Cat,Female,Registered,Y,Y,306
4,ADELAIDE CITY COUNCIL,Cat,Female,Unregistered,Y,Y,5
5,ADELAIDE CITY COUNCIL,Cat,Male,Registered,N,N,3
6,ADELAIDE CITY COUNCIL,Cat,Male,Registered,N,Y,2
7,ADELAIDE CITY COUNCIL,Cat,Male,Registered,Y,N,36
8,ADELAIDE CITY COUNCIL,Cat,Male,Registered,Y,Y,297
9,ADELAIDE CITY COUNCIL,Cat,Male,Unregistered,Y,N,2
10,ADELAIDE CITY COUNCIL,Cat,Male,Unregistered,Y,Y,5
11,ADELAIDE CITY COUNCIL,Dog,Female,Registered,N,N,2
12,ADELAIDE CITY COUNCIL,Dog,Female,Registered,N,Y,4
13,ADELAIDE CITY COUNCIL,Dog,Female,Registered,Y,N,75
14,ADELAIDE CITY COUNCIL,Dog,Female,Registered,Y,Y,484
15,ADELAIDE CITY COUNCIL,Dog,Female,Unregistered,N,N,2
16,ADELAIDE CITY COUNCIL,Dog,Female,Unregistered,Y,N,12
17,ADELAIDE CITY COUNCIL,Dog,Female,Unregistered,Y,Y,12
18,ADELAIDE CITY COUNCIL,Dog,Male,Registered,N,N,2
19,ADELAIDE CITY COUNCIL,Dog,Male,Registered,N,Y,4
20,ADELAIDE CITY COUNCIL,Dog,Male,Registered,Y,N,96
21,ADELAIDE CITY COUNCIL,Dog,Male,Registered,Y,Y,544
22,ADELAIDE CITY COUNCIL,Dog,Male,Unregistered,N,N,7
23,ADELAIDE CITY COUNCIL,Dog,Male,Unregistered,Y,N,9
24,ADELAIDE CITY COUNCIL,Dog,Male,Unregistered,Y,Y,12
25,ADELAIDE HILLS COUNCIL,Cat,Female,Registered,N,N,2
26,ADELAIDE HILLS COUNCIL,Cat,Female,Registered,N,Y,1
27,ADELAIDE HILLS COUNCIL,Cat,Female,Registered,Y,N,22
28,ADELAIDE HILLS COUNCIL,Cat,Female,Registered,Y,Y,727
29,ADELAIDE HILLS COUNCIL,Cat,Female,Unregistered,N,N,2
30,ADELAIDE HILLS COUNCIL,Cat,Female,Unregistered,N,Y,3
31,ADELAIDE HILLS COUNCIL,Cat,Female,Unregistered,Y,N,14
32,ADELAIDE HILLS COUNCIL,Cat,Female,Unregistered,Y,Y,169
33,ADELAIDE HILLS COUNCIL,Cat,Male,Registered,N,N,1
34,ADELAIDE HILLS COUNCIL,Cat,Male,Registered,N,Y,1
35,ADELAIDE HILLS COUNCIL,Cat,Male,Registered,Y,N,10
36,ADELAIDE HILLS COUNCIL,Cat,Male,Registered,Y,Y,690
