_id,LocationType,Time,Season,OffendingAnimalLeashStatus,IncidentType,VictimType,FinancialYear,Count
1,Beach,5 pm to 8 pm,Autumn,No Leash,Attack,Animal,2021/22,1
2,Beach,5 pm to 8 pm,Autumn,No Leash,Attack,Human,2019/20,1
3,Beach,5 pm to 8 pm,Autumn,No Leash,Harassment,Animal,2019/20,1
4,Beach,5 pm to 8 pm,Autumn,No Leash,Harassment,Animal,2023/24,1
5,Beach,5 pm to 8 pm,Autumn,No Leash,Harassment,Human,2020/21,1
6,Beach,5 pm to 8 pm,Autumn,No Leash,Harassment,Unknown,2019/20,2
7,Beach,5 pm to 8 pm,Autumn,On a Leash,Attack,Animal,2018/19,1
8,Beach,5 pm to 8 pm,Autumn,On a Leash,Attack,Unknown,2020/21,1
9,Beach,5 pm to 8 pm,Autumn,Unknown,Attack,Human,2018/19,1
10,Beach,5 pm to 8 pm,Autumn,Unknown,Attack,Human,2021/22,1
11,Beach,5 pm to 8 pm,Spring,No Leash,Attack,Animal,2020/21,1
12,Beach,5 pm to 8 pm,Spring,No Leash,Attack,Human,2020/21,1
13,Beach,5 pm to 8 pm,Spring,No Leash,Attack,Human,2022/23,1
14,Beach,5 pm to 8 pm,Spring,No Leash,Harassment,Human,2023/24,1
15,Beach,5 pm to 8 pm,Spring,On a Leash,Attack,Animal,2019/20,1
16,Beach,5 pm to 8 pm,Spring,On a Leash,Attack,Human,2022/23,1
17,Beach,5 pm to 8 pm,Spring,On a Leash,Harassment,Unknown,2021/22,2
18,Beach,5 pm to 8 pm,Spring,Unknown,Attack,Animal,2019/20,1
19,Beach,5 pm to 8 pm,Spring,Unknown,Attack,Animal,2023/24,1
20,Beach,5 pm to 8 pm,Spring,Unknown,Harassment,Unknown,2021/22,1
21,Beach,5 pm to 8 pm,Summer,No Leash,Attack,Animal,2021/22,1
22,Beach,5 pm to 8 pm,Summer,No Leash,Attack,Human,2023/24,1
23,Beach,5 pm to 8 pm,Summer,On a Leash,Attack,Animal,2022/23,1
24,Beach,5 pm to 8 pm,Summer,On a Leash,Attack,Human,2021/22,1
25,Beach,5 pm to 8 pm,Summer,On a Leash,Harassment,Human,2021/22,1
26,Beach,5 pm to 8 pm,Summer,Unknown,Attack,Animal,2021/22,1
27,Beach,5 pm to 8 pm,Summer,Unknown,Harassment,Human,2020/21,1
28,Beach,5 pm to 8 pm,Summer,Unknown,Harassment,Human,2023/24,1
29,Beach,5 pm to 8 pm,Summer,Unknown,Harassment,Unknown,2022/23,1
30,Beach,5 pm to 8 pm,Winter,Unknown,Attack,Unknown,2022/23,1
31,Beach,6 am to 9 am,Autumn,No Leash,Attack,Animal,2019/20,1
32,Beach,6 am to 9 am,Autumn,No Leash,Attack,Animal,bef 30 Jun 2018,1
33,Beach,6 am to 9 am,Autumn,No Leash,Attack,Unknown,2020/21,1
34,Beach,6 am to 9 am,Autumn,No Leash,Attack,Unknown,2022/23,1
35,Beach,6 am to 9 am,Autumn,No Leash,Harassment,Animal,2023/24,1
36,Beach,6 am to 9 am,Autumn,Unknown,Attack,Animal,2020/21,1
37,Beach,6 am to 9 am,Autumn,Unknown,Attack,Animal,2022/23,1
38,Beach,6 am to 9 am,Autumn,Unknown,Attack,Human,2020/21,1
39,Beach,6 am to 9 am,Autumn,Unknown,Attack,Human,2021/22,1
40,Beach,6 am to 9 am,Autumn,Unknown,Harassment,Human,2023/24,1
41,Beach,6 am to 9 am,Spring,No Leash,Attack,Animal,2018/19,1
42,Beach,6 am to 9 am,Spring,No Leash,Attack,Animal,2022/23,1
43,Beach,6 am to 9 am,Spring,No Leash,Attack,Unknown,2021/22,1
44,Beach,6 am to 9 am,Spring,On a Leash,Harassment,Animal,2022/23,1
45,Beach,6 am to 9 am,Spring,Unknown,Attack,Animal,2018/19,1
46,Beach,6 am to 9 am,Spring,Unknown,Attack,Animal,2019/20,1
47,Beach,6 am to 9 am,Spring,Unknown,Attack,Animal,2023/24,1
48,Beach,6 am to 9 am,Spring,Unknown,Attack,Both,2022/23,1
49,Beach,6 am to 9 am,Spring,Unknown,Attack,Human,2022/23,1
50,Beach,6 am to 9 am,Spring,Unknown,Attack,Unknown,2022/23,1
51,Beach,6 am to 9 am,Spring,Unknown,Harassment,Animal,2021/22,1
52,Beach,6 am to 9 am,Summer,No Leash,Attack,Animal,2018/19,1
53,Beach,6 am to 9 am,Summer,No Leash,Attack,Animal,2019/20,2
54,Beach,6 am to 9 am,Summer,No Leash,Attack,Animal,2020/21,2
55,Beach,6 am to 9 am,Summer,No Leash,Attack,Animal,2021/22,1
56,Beach,6 am to 9 am,Summer,No Leash,Attack,Human,2019/20,1
57,Beach,6 am to 9 am,Summer,No Leash,Attack,Unknown,2023/24,1
58,Beach,6 am to 9 am,Summer,No Leash,Harassment,Animal,2019/20,1
59,Beach,6 am to 9 am,Summer,No Leash,Harassment,Animal,2020/21,1
60,Beach,6 am to 9 am,Summer,On a Leash,Attack,Animal,2019/20,2
61,Beach,6 am to 9 am,Summer,Unknown,Attack,Animal,2020/21,1
62,Beach,6 am to 9 am,Summer,Unknown,Attack,Animal,2022/23,1
63,Beach,6 am to 9 am,Summer,Unknown,Attack,Human,2018/19,1
64,Beach,6 am to 9 am,Summer,Unknown,Attack,Human,2023/24,1
65,Beach,6 am to 9 am,Summer,Unknown,Harassment,Unknown,2023/24,1
66,Beach,6 am to 9 am,Winter,No Leash,Attack,Animal,2022/23,1
67,Beach,6 am to 9 am,Winter,No Leash,Harassment,Animal,2023/24,1
68,Beach,6 am to 9 am,Winter,No Leash,Harassment,Human,2020/21,1
69,Beach,6 am to 9 am,Winter,On a Leash,Attack,Human,2020/21,1
70,Beach,6 am to 9 am,Winter,Unknown,Attack,Unknown,2021/22,1
71,Beach,6 am to 9 am,Winter,Unknown,Harassment,Animal,2019/20,1
72,Beach,6 am to 9 am,Winter,Unknown,Harassment,Human,2018/19,1
73,Beach,6 am to 9 am,Winter,Unknown,Harassment,Unknown,2019/20,1
74,Beach,8 pm to 10 pm,Autumn,Unknown,Attack,Animal,2021/22,1
75,Beach,8 pm to 10 pm,Autumn,Unknown,Attack,Unknown,2019/20,1
76,Beach,8 pm to 10 pm,Spring,Unknown,Attack,Animal,2021/22,1
77,Beach,8 pm to 10 pm,Summer,No Leash,Attack,Animal,2022/23,1
78,Beach,8 pm to 10 pm,Summer,Unknown,Attack,Animal,2018/19,1
79,Beach,9 am to Noon,Autumn,No Leash,Attack,Animal,2018/19,2
80,Beach,9 am to Noon,Autumn,No Leash,Attack,Human,2019/20,1
81,Beach,9 am to Noon,Autumn,No Leash,Harassment,Human,2020/21,1
82,Beach,9 am to Noon,Autumn,No Leash,Harassment,Human,2023/24,1
83,Beach,9 am to Noon,Autumn,No Leash,Harassment,Unknown,2021/22,1
84,Beach,9 am to Noon,Autumn,On a Leash,Attack,Unknown,2021/22,1
85,Beach,9 am to Noon,Autumn,Unknown,Attack,Animal,2023/24,1
86,Beach,9 am to Noon,Autumn,Unknown,Attack,Human,2020/21,1
87,Beach,9 am to Noon,Autumn,Unknown,Attack,Unknown,2019/20,1
88,Beach,9 am to Noon,Autumn,Unknown,Harassment,Animal,2020/21,1
89,Beach,9 am to Noon,Autumn,Unknown,Harassment,Human,2022/23,1
90,Beach,9 am to Noon,Spring,No Leash,Attack,Animal,2020/21,1
91,Beach,9 am to Noon,Spring,No Leash,Attack,Animal,2021/22,1
92,Beach,9 am to Noon,Spring,No Leash,Attack,Animal,2023/24,1
93,Beach,9 am to Noon,Spring,No Leash,Attack,Unknown,2020/21,1
94,Beach,9 am to Noon,Spring,No Leash,Attack,Unknown,2022/23,1
95,Beach,9 am to Noon,Spring,On a Leash,Attack,Animal,2020/21,2
96,Beach,9 am to Noon,Spring,On a Leash,Attack,Animal,2022/23,1
97,Beach,9 am to Noon,Spring,Unknown,Attack,Animal,2018/19,1
98,Beach,9 am to Noon,Summer,No Leash,Attack,Animal,2018/19,1
99,Beach,9 am to Noon,Summer,No Leash,Attack,Animal,2020/21,1
100,Beach,9 am to Noon,Summer,No Leash,Attack,Animal,2021/22,2
101,Beach,9 am to Noon,Summer,No Leash,Attack,Human,2018/19,1
